BuildingName,RoomName,BuildingNumber,RoomNumber,ManageDepartment,ActualUse,ClassroomCategorization
운동장,운동장,대운동장,101,캠퍼스관리팀,실기실,실기실
비닐하우스,하우스1,비닐하우스,101,원예학전공,,
온실,온실,온실,101,건축안전팀,실습실,실습실
중앙무대,중앙무대 대기실,중앙무대,101,건축안전팀,준비실,
청년공동작업장,코워킹스페이스,청년공동작업장,101,청년희망팩토리사업단,작업실,
청년공동작업장,스튜디오,청년공동작업장,102,청년희망팩토리사업단,실습실,
청년공동작업장,프로젝트룸,청년공동작업장,103,청년희망팩토리사업단,회의실,
청년공동작업장,공방,청년공동작업장,104,청년희망팩토리사업단,작업실,
청년공동작업장,미디어룸,청년공동작업장,105,청년희망팩토리사업단,실습실,
청년희망팩토리,창업아울렛&아트스페이스 UP,청년희망팩토리,101,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간8,청년희망팩토리,102,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간7,청년희망팩토리,103,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간6,청년희망팩토리,104,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간5,청년희망팩토리,105,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간4,청년희망팩토리,106,청년희망팩토리사업단,외부업체,
청년희망팩토리,스터디룸,청년희망팩토리,107,청년희망팩토리사업단,실습실,
청년희망팩토리,프로젝트룸1,청년희망팩토리,108,청년희망팩토리사업단,회의실,
청년희망팩토리,화상회의실,청년희망팩토리,109,청년희망팩토리사업단,회의실,
청년희망팩토리,통신실,청년희망팩토리,110,청년희망팩토리사업단,기기실,
청년희망팩토리,스태프오피스,청년희망팩토리,111,청년희망팩토리사업단,사무실,
청년희망팩토리,뉴미디어 프로젝트룸,청년희망팩토리,112,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간2,청년희망팩토리,113,청년희망팩토리사업단,외부업체,
청년희망팩토리,창업공간1,청년희망팩토리,114,청년희망팩토리사업단,외부업체,
테니스장,테니스장,테니스장,101,캠퍼스관리팀,실기실,실기실
